modality,hand,band,trial,delta_erd_onset_s,delta_erd_peak_s,delta_pmbr_peak_s,delta_erd_amp_pct,delta_pmbr_amp_pct
VA,right,beta,25,1.1600000000000001,-1.6800000000000002,0.4119999999999999,7.347641,51.06364440917969
VA,right,beta,26,0.9880000000000001,-3.608,-0.03200000000000003,4.6439133,-51.72190856933594
VA,right,beta,27,1.688,-1.0,-1.04,1.9936142,307.7532043457031
VA,right,mu,0,-0.16400000000000003,-1.8519999999999999,,29.657158,
VA,right,mu,1,-0.504,1.5079999999999996,,-4.513237,
VA,right,mu,2,-0.972,0.6279999999999997,,6.086693,
VA,right,mu,3,-0.416,-3.0520000000000005,,5.047455,
VA,right,mu,4,0.036,2.572,,6.4124527,
VA,right,mu,5,0.12799999999999997,0.8680000000000001,,12.294182,
VA,right,mu,6,0.524,0.376,,10.403061,
VA,right,mu,7,,,,,
VA,right,mu,8,-0.03200000000000003,-2.78,,-9.379211,
VA,right,mu,9,,,,,
VA,right,mu,10,-0.728,-0.7079999999999997,,-9.337219,
VA,right,mu,11,0.408,0.6759999999999999,,-15.408073,
VA,right,mu,12,-0.22800000000000004,2.628,,9.209938,
VA,right,mu,13,0.376,0.04799999999999993,,-3.650116,
VA,right,mu,14,-0.352,-1.5560000000000003,,-2.0161133,
VA,right,mu,15,-0.032,-2.672,,1.9508896,
VA,right,mu,16,-0.296,0.40400000000000014,,2.4736786,
VA,right,mu,17,0.0,1.012,,2.5537338,
VA,right,mu,18,0.836,-1.356,,21.153313,
VA,right,mu,19,-0.008,-1.9520000000000004,,-27.050972,
VA,right,mu,20,,,,,
VA,right,mu,21,-0.412,0.45999999999999996,,-8.922272,
VA,right,mu,22,-0.824,0.028000000000000025,,-5.101471,
VA,right,mu,23,0.364,0.09199999999999997,,14.318756,
VA,right,mu,24,-0.23199999999999998,2.08,,-1.6583099,
VA,right,mu,25,-0.08400000000000007,1.3079999999999998,,-34.759964,
VA,right,mu,26,0.11599999999999999,1.2519999999999998,,-2.481575,
VA,right,mu,27,-0.032,0.512,,-22.624283,
